"Jahr"	"Benzin-elektrisch: Plug-in-Hybrid (PHEV)"	"Diesel-elektrisch: Plug-in-Hybrid (PHEV)"	"Elektrisch (EV)"	"Wasserstoff (FCEV)"	"Anteil BS (rechte Skala)"	"Zielpfad BS (2037: 97%)"
2005	0	0	14	0	0.02	
2006	0	0	10	0	0.02	
2007	0	0	10	0	0.02	
2008	0	0	10	0	0.02	
2009	0	0	8	0	0.01	
2010	0	0	8	0	0.01	
2011	0	0	18	0	0.03	
2012	1	0	24	0	0.04	
2013	3	1	42	0	0.07	
2014	4	2	61	0	0.1	
2015	18	4	86	0	0.17	
2016	41	5	134	0	0.28	
2017	77	7	177	12	0.42	
2018	121	4	237	12	0.57	
2019	211	4	376	11	0.94	
2020	478	6	587	11	1.72	
2021	599	16	902	12	2.47	
2022	871	22	1290	13	3.62	3.62
2023	1054	32	1830	12	4.92	9.845
2024						16.071
