jahr	Motorisierungsgrad gemäss MFK	Motorisierungsgrad gemäss IVZ
1995	298.9	
1996	299.4	
1997	299.9	
1998	306.6	
1999	311.3	
2000	315.7	
2001	318.9	
2002	317.6	
2003	314.9	
2004	331.6	
2005	329.5	
2006	327.5	
2007	325.6	
2008	322.8	
2009	319.1	
2010	319.3	
2011	320.8	
2012	325.0	
2013	320.2	
2014	319.4	
2015	316.6	
2016	320.0	
2017	318.6	
2018	312.5	
2019	309.2	
2020	307.6	
2021	307.1	309.9
2022		302.1
2023		300.0
2024		299.6
