	Sehr zufrieden	Eher zufrieden	Eher unzufrieden	Sehr unzufrieden	Weiss nicht	Keine Angabe
2003	125	326	202	33	668	0
2007	81	362	197	35	717	0
2011	243	549	170	21	427	14
2015	179	348	70	7	431	0
2019	297	365	135	37	761	80
