"Jahr"	"Nettoerwerbstätigenquote"	"95% Konfidenzintervall Untergrenze"	"95% Konfidenzintervall Obergrenze"
1990	0.75034	"."	"."
2000	0.71323	"."	"."
"2013-2017"	0.72766	0.69182	0.76350

