Klassen	Veranlagungen	Summe Gesamtsteuer
0	1320	0
1 bis 4 999	8673	6010386
5 000 bis 9 999	713	5075496
10 000 bis 19 999	540	7593684
20 000 bis 49 999	458	14299256
50 000 bis 99 999	213	14665365
100 000 bis 999 999	203	53790500
1 Mio. u.m.	43	388507282






