"Category"	"2024"	"2025"	"2026"	"LWQ 2024"	"LWQ 2025"	"LWQ 2026"
"<30 m²"	48	80	91	1.32	2.05	2.33
"30-49 m²"	118	140	180	0.79	0.93	1.18
"50-69 m²"	258	334	264	0.77	0.99	0.78
"70-99 m²"	315	363	238	0.79	0.91	0.60
"100-149 m²"	121	128	102	0.68	0.71	0.56
"≥150 m²"	37	34	37	0.57	0.53	0.57

