"Staatsangehörigkeit"	"Mittelwert 2009"	"Mittelwert 2018"
"Schweiz"	65492	66083
"Deutschland"	84629	95112
"Italien"	52519	61889
"Türkei"	36775	35987
"EU-West + EFTA + UK"	83275	102870
"EU-Ost"	48323	74615
"Balkan"	41804	44480
"Mittel- und Südamerika"	47721	60711
"Arabische Länder"	35968	45076
"Afrikanische Länder"	37341	37326
"Übrige Länder"	92717	129021

