Monat	Basler Index	Landesindex
2022-03	2.0	2.4
2022-04	2.2	2.5
2022-05	2.7	2.9
2022-06	3.0	3.4
2022-07	3.1	3.4
2022-08	3.0	3.5
2022-09	2.9	3.3
2022-10	2.9	3.0
2022-11	2.9	3.0
2022-12	2.9	2.8
2023-01	3.0	3.3
2023-02	3.2	3.4
2023-03	2.8	2.9
