"Jahr"	"Effektiv"	"Hohes Szenario"	"Mittleres Szenario"	"Tiefes Szenario"
"1985"	21620	""	""	""
"1986"	21571	""	""	""
"1987"	21377	""	""	""
"1988"	21175	""	""	""
"1989"	21179	""	""	""
"1990"	21175	""	""	""
"1991"	21182	""	""	""
"1992"	21283	""	""	""
"1993"	21389	""	""	""
"1994"	21653	""	""	""
"1995"	21948	""	""	""
"1996"	22098	""	""	""
"1997"	21998	""	""	""
"1998"	21873	""	""	""
"1999"	21839	""	""	""
"2000"	21710	""	""	""
"2001"	21874	""	""	""
"2002"	21864	""	""	""
"2003"	21888	""	""	""
"2004"	21830	""	""	""
"2005"	21659	""	""	""
"2006"	21733	""	""	""
"2007"	21728	""	""	""
"2008"	21746	""	""	""
"2009"	21711	""	""	""
"2010"	21923	""	""	""
"2011"	21912	""	""	""
"2012"	22031	""	""	""
"2013"	22129	""	""	""
"2014"	22185	""	""	""
"2015"	22073	""	""	""
"2016"	22191	""	""	""
"2017"	22527	""	""	""
"2018"	22661	""	""	""
"2019"	22638	""	""	""
"2020"	""	22856	22696	22545
"2021"	""	23118	22805	22499
"2022"	""	23381	22927	22470
"2023"	""	23639	23058	22455
"2024"	""	23886	23191	22448
"2025"	""	24125	23324	22445
"2026"	""	24356	23453	22442
"2027"	""	24582	23577	22435
"2028"	""	24803	23696	22423
"2029"	""	25021	23808	22407
"2030"	""	25236	23914	22387
"2031"	""	25446	24014	22362
"2032"	""	25653	24107	22334
"2033"	""	25855	24194	22301
"2034"	""	26052	24276	22264
"2035"	""	26245	24353	22222
"2036"	""	26433	24424	22175
"2037"	""	26617	24491	22124
"2038"	""	26797	24555	22069
"2039"	""	26973	24615	22009
"2040"	""	27147	24672	21946

