Alter	Schweizer	Schweizerinnen	Ausländer	Ausländerinnen
18-24 Jahre	23.9	6.5	56.4	8.1
25-34 Jahre	12.8	4.7	25.0	6.2
35-44 Jahre	17.2	8.1	21.7	8.6
45-59 Jahre	13.1	6.1	15.3	7.2
60 Jahre u.m.	4.7	1.6	6.8	1.6
