"Jahr"	"Effektiv"	"Hohes Szenario"	"Mittleres Szenario"	"Tiefes Szenario"
"1985"	33107	""	""	""
"1986"	32066	""	""	""
"1987"	31454	""	""	""
"1988"	31064	""	""	""
"1989"	30881	""	""	""
"1990"	31167	""	""	""
"1991"	32033	""	""	""
"1992"	32555	""	""	""
"1993"	33337	""	""	""
"1994"	33555	""	""	""
"1995"	33674	""	""	""
"1996"	33708	""	""	""
"1997"	33514	""	""	""
"1998"	33330	""	""	""
"1999"	33110	""	""	""
"2000"	32396	""	""	""
"2001"	32247	""	""	""
"2002"	32223	""	""	""
"2003"	32129	""	""	""
"2004"	31742	""	""	""
"2005"	31380	""	""	""
"2006"	31068	""	""	""
"2007"	30787	""	""	""
"2008"	30974	""	""	""
"2009"	30918	""	""	""
"2010"	31052	""	""	""
"2011"	31193	""	""	""
"2012"	31496	""	""	""
"2013"	31838	""	""	""
"2014"	32052	""	""	""
"2015"	32500	""	""	""
"2016"	32873	""	""	""
"2017"	33302	""	""	""
"2018"	33816	""	""	""
"2019"	33796	""	""	""
"2020"	34134	""	""	""
"2021"	34529	""	""	""
"2022"	""	35137	34979	34793
"2023"	""	35689	35327	34911
"2024"	""	36211	35609	34928
"2025"	""	36737	35860	34887
"2026"	""	37300	36117	34824
"2027"	""	37878	36358	34724
"2028"	""	38452	36570	34577
"2029"	""	39048	36783	34418
"2030"	""	39595	36933	34186
"2031"	""	40178	37109	33978
"2032"	""	40692	37212	33695
"2033"	""	41261	37367	33468
"2034"	""	41766	37457	33180
"2035"	""	42246	37521	32872
"2036"	""	42716	37574	32558
"2037"	""	43180	37619	32242
"2038"	""	43707	37727	31996
"2039"	""	44229	37829	31750
"2040"	""	44772	37952	31532
"2041"	""	45294	38052	31295
"2042"	""	45791	38145	31075
"2043"	""	46274	38238	30876
"2044"	""	46746	38330	30690
"2045"	""	47210	38421	30515

