WohnviertelId	Wohnviertel_Name	2016	Differenz 2016 zu 1997	1997	Bewohner 1997	Bewohner 2016	Fläche
1	Altstadt GB	67.4943682015309	10.4979457218406	56.9964224796903	2150	2546	37.7216657899207
2	Vorstädte	55.6861001144172	-5.54421546340294E-02	55.7415422690513	5027	5022	90.1840852507428
3	Am Ring	117.447655115966	1.08322320257878	116.364431913387	10635	10734	91.3939064121918
4	Breite	130.228057654803	-0.349762016977991	130.577819671781	8960	8936	68.6180855410341
5	St. Alban	36.5740469748745	2.38993405342426	34.1841129214502	10184	10896	297.916170105138
6	Gundeldingen	162.080683916768	-0.987197640507816	163.067881557276	18996	18881	116.491364323807
7	Bruderholz	35.5481337064078	0.841604381841542	34.7065293245663	8990	9208	259.029069600359
8	Bachletten	88.5479894607466	-1.12475106618776	89.6727405269343	13713	13541	152.922726788763
9	Gotthelf	140.320485426793	-2.36022463420815	142.680710061001	6952	6837	48.7241757980302
10	Iselin	152.7468360946	3.09485856611764	149.651977528482	16344	16682	109.213391429387
11	St. Johann	83.2615056999657	-1.10967994588928	84.371185645855	19008	18758	225.290184729481
12	Altstadt KB	100.687653298839	3.2271683749628	97.4604849238766	2416	2496	24.7895339520121
13	Clara	173.831016735163	5.09869748315913	168.732319252004	3905	4023	23.1431655613518
14	Wettstein	74.7172317369915	3.46599056570321	71.2512411712882	5386	5648	75.5916656532626
15	Hirzbrunnen	29.8003004639172	-0.652184257173481	30.4524847210906	9432	9230	309.728420731055
16	Rosental	103.400914319216	35.6979347054436	67.7029796137724	4290	6552	63.3650102916196
17	Matthäus	267.514597481339	-4.29904186787343	271.813639349213	16186	15930	59.5481523250754
18	Klybeck	78.2640522184269	0.130403863735239	78.1336483546917	7190	7202	92.0218132828078
19	Kleinhüningen	21.4128194586533	2.86441795039711	18.5484015082562	2506	2893	135.105981983652
20	Riehen	19.3374837572559	0.147326194046041	19.1901575632098	20841	21001	1086.02547589057
30	Bettingen	5.34346577291458	0.148180143282505	5.19528562963207	1157	1190	222.701903703019
