Publikationsjahr	Indikator_Nr	jahr_num	jahr_char	Wert	Indikator_Label	Indikator_Name	Wohnviertel_id	Wohnviertel	Rang
2025	4	2024	2024	0.239284183454779	Anteil&nbsp;Personen&nbsp;in Einpersonen-haushalten	Anteileinpersonenhh	11	St. Johann	9
2025	4	2024	2024	0.356830122591944	Anteil&nbsp;Personen&nbsp;in Einpersonen-haushalten	Anteileinpersonenhh	12	Altstadt Kleinbasel	21
2025	4	2024	2024	0.311585512113217	Anteil&nbsp;Personen&nbsp;in Einpersonen-haushalten	Anteileinpersonenhh	13	Clara	18
2025	4	2024	2024	0.265683312599964	Anteil&nbsp;Personen&nbsp;in Einpersonen-haushalten	Anteileinpersonenhh	14	Wettstein	11
2025	4	2024	2024	0.198215223097113	Anteil&nbsp;Personen&nbsp;in Einpersonen-haushalten	Anteileinpersonenhh	15	Hirzbrunnen	4
2025	4	2024	2024	0.231960150780829	Anteil&nbsp;Personen&nbsp;in Einpersonen-haushalten	Anteileinpersonenhh	16	Rosental	8
2025	4	2024	2024	0.279141932002159	Anteil&nbsp;Personen&nbsp;in Einpersonen-haushalten	Anteileinpersonenhh	17	Matthäus	14
2025	4	2024	2024	0.249207721117833	Anteil&nbsp;Personen&nbsp;in Einpersonen-haushalten	Anteileinpersonenhh	18	Klybeck	10
2025	4	2024	2024	0.220111731843575	Anteil&nbsp;Personen&nbsp;in Einpersonen-haushalten	Anteileinpersonenhh	19	Kleinhüningen	6
2025	4	2024	2024	0.166014834794336	Anteil&nbsp;Personen&nbsp;in Einpersonen-haushalten	Anteileinpersonenhh	20	Riehen	3
2025	4	2024	2024	0.131255127153404	Anteil&nbsp;Personen&nbsp;in Einpersonen-haushalten	Anteileinpersonenhh	30	Bettingen	1
2025	5	2024	2024	0.5789	Gymnasialquote	Gymnasialquote	1	Altstadt Grossbasel	19
2025	5	2024	2024	0.5111	Gymnasialquote	Gymnasialquote	2	Vorstädte	16
2025	5	2024	2024	0.5034	Gymnasialquote	Gymnasialquote	3	Am Ring	14
2025	5	2024	2024	0.265	Gymnasialquote	Gymnasialquote	4	Breite	7
2025	5	2024	2024	0.4421	Gymnasialquote	Gymnasialquote	5	St. Alban	12
2025	5	2024	2024	0.225	Gymnasialquote	Gymnasialquote	6	Gundeldingen	5
2025	5	2024	2024	0.5464	Gymnasialquote	Gymnasialquote	7	Bruderholz	18
