""	"Mittlere jährliche Arbeitslosenquote"	"Monatliche Anzahl Arbeitslose (rechte Skala)"
"2013-01"	0.074938	193
"2013-02"	0.074938	202
"2013-03"	0.074938	192
"2013-04"	0.074938	199
"2013-05"	0.074938	190
"2013-06"	0.074938	180
"2013-07"	0.074938	170
"2013-08"	0.074938	175
"2013-09"	0.074938	173
"2013-10"	0.074938	195
"2013-11"	0.074938	190
"2013-12"	0.074938	207
"2014-01"	0.073086	203
"2014-02"	0.073086	203
"2014-03"	0.073086	197
"2014-04"	0.073086	199
"2014-05"	0.073086	187
"2014-06"	0.073086	180
"2014-07"	0.073086	171
"2014-08"	0.073086	171
"2014-09"	0.073086	166
"2014-10"	0.073086	168
"2014-11"	0.073086	172
"2014-12"	0.073086	193
"2015-01"	0.079965	205
"2015-02"	0.079965	201
"2015-03"	0.079965	211
"2015-04"	0.079965	209
"2015-05"	0.079965	203
"2015-06"	0.079965	201
"2015-07"	0.079965	196
"2015-08"	0.079965	188
"2015-09"	0.079965	189
"2015-10"	0.079965	191
"2015-11"	0.079965	200
"2015-12"	0.079965	224
"2016-01"	0.086446	229
"2016-02"	0.086446	243
"2016-03"	0.086446	223
"2016-04"	0.086446	223
"2016-05"	0.086446	221
"2016-06"	0.086446	217
"2016-07"	0.086446	201
"2016-08"	0.086446	195
"2016-09"	0.086446	203
"2016-10"	0.086446	205
"2016-11"	0.086446	225
"2016-12"	0.086446	229
"2017-01"	0.075963	222
"2017-02"	0.075963	222
"2017-03"	0.075963	212
"2017-04"	0.075963	202
"2017-05"	0.075963	184
"2017-06"	0.075963	182
"2017-07"	0.075963	180
"2017-08"	0.075963	175
"2017-09"	0.075963	176
"2017-10"	0.075963	186
"2017-11"	0.075963	178
"2017-12"	0.075963	178
"2018-01"	0.069514	184
"2018-02"	0.069514	176
"2018-03"	0.069514	208
"2018-04"	0.069514	206
"2018-05"	0.069514	186
"2018-06"	0.069514	186
"2018-07"	0.069514	167
"2018-08"	0.069514	169
"2018-09"	0.069514	154
"2018-10"	0.069514	149
"2018-11"	0.069514	156
"2018-12"	0.069514	161
"2019-01"	0.062867	171
"2019-02"	0.062867	170
"2019-03"	0.062867	174
"2019-04"	0.062867	170
"2019-05"	0.062867	168
"2019-06"	0.062867	156
"2019-07"	0.062867	136
"2019-08"	0.062867	137
"2019-09"	0.062867	140
"2019-10"	0.062867	147
"2019-11"	0.062867	162
"2019-12"	0.062867	170
"2020-01"	0.083073	168
"2020-02"	0.083073	162
"2020-03"	0.083073	187
"2020-04"	0.083073	212
"2020-05"	0.083073	223
"2020-06"	0.083073	219
"2020-07"	0.083073	205
"2020-08"	0.083073	214
"2020-09"	0.083073	224
"2020-10"	0.083073	224
"2020-11"	0.083073	234
"2020-12"	0.083073	240
"2021-01"	0.091671	257
"2021-02"	0.091671	248
"2021-03"	0.091671	239
"2021-04"	0.091671	252
"2021-05"	0.091671	254
"2021-06"	0.091671	243
"2021-07"	0.091671	230
"2021-08"	0.091671	226
"2021-09"	0.091671	204
"2021-10"	0.091671	208
"2021-11"	0.091671	205
"2021-12"	0.091671	206
"2022-01"	0.079369	220
"2022-02"	0.079369	228
"2022-03"	0.079369	208
"2022-04"	0.079369	212
"2022-05"	0.079369	205
"2022-06"	0.079369	198
"2022-07"	0.079369	190
"2022-08"	0.079369	194
"2022-09"	0.079369	189
"2022-10"	0.079369	192
"2022-11"	0.079369	184
"2022-12"	0.079369	180

