Jahr	Stadt Basel	Klybeck	Kleinhüningen
2013	41.2465408278070	31.8266145905980	33.6599338964370
2014	40.8820826407020	31.7784862766840	32.8884462151390
2015	40.6319621598630	31.8502666292450	32.4669064748200
2016	40.4485163543870	31.7752793098570	32.5936599423630
2017	40.2035834999940	31.6809704108820	32.4776282284460
2018	40.1806271152920	31.7660050321490	32.2444846292940
2019	40.5998985889880	32.2649015998860	32.6900000000000
2020	40.7145423473760	32.6729988399070	32.4369436201780
2021	40.8763878780820	32.7500000000000	33.0735735735730
2022	40.7859182555020	32.9493951017990	33.4119190404790
2023	40.8117083719490	33.0409969031110	33.3921933085500
		
