Jahr	Neubau	Abbruch	Umbausaldo	Nettowohnungsproduktion
2008	0	-9	-13	-22
2009	0	0	-23	-23
2010	166	-4	11	173
2011	10	-2	2	10
2012	4	0	-23	-19
2013	0	0	27	27
2014	0	-4	3	-1
2015	3	-3	1	1
2016	6	-7	4	3
2017	0	-1	0	-1
2018	70	-4	-3	63
2019	32	-16	-2	14
2020	1	-1	20	20
2021	214	0	5	219
2022	144	-15	14	143
2023	15	-6	73	82
2024	42	-6	13	49
