"Kaderstufe"	"Schweiz"	"Schweizer"	"Schweizerinnen"	"Ausland"	"Ausländer"	"Ausländerinnen"
"Oberes Kader"	94.6	52.3	42.3	5.4	3.6	1.8
"Mittleres Kader"	94.6	50.5	44.1	5.4	3.0	2.5
"Mittleres Fachkader"	90.7	38.8	51.9	9.3	5.4	3.9
"Unteres Kader"	86.6	54.5	32.1	13.4	8.5	4.9
"Unteres Fachkader"	86.5	45.9	40.5	13.5	5.4	8.1
"Ohne Kaderfunktion"	82.3	31.0	51.3	17.7	6.8	10.9

