"Jahr"	"Kantone Basel-Stadt und Basel-Landschaft"
2005	434019
2006	330562
2007	482072
2008	479220
2009	302241
2010	420224
2011	353316
2012	468296
2013	712736
2014	741807
2015	753494
2016	1002009
2017	826578
2018	937271
2019	903826
2020	889621
2021	508490
2022	391666
2023	337486
