"Jahr"	"Effektiv"	"Hohes Szenario"	"Mittleres Szenario"	"Tiefes Szenario"
"1985"	2540	""	""	""
"1986"	2700	""	""	""
"1987"	2522	""	""	""
"1988"	2623	""	""	""
"1989"	2617	""	""	""
"1990"	2815	""	""	""
"1991"	2637	""	""	""
"1992"	2619	""	""	""
"1993"	2552	""	""	""
"1994"	2546	""	""	""
"1995"	2609	""	""	""
"1996"	2410	""	""	""
"1997"	2547	""	""	""
"1998"	2511	""	""	""
"1999"	2441	""	""	""
"2000"	2413	""	""	""
"2001"	2321	""	""	""
"2002"	2441	""	""	""
"2003"	2420	""	""	""
"2004"	2148	""	""	""
"2005"	2179	""	""	""
"2006"	2182	""	""	""
"2007"	2018	""	""	""
"2008"	2173	""	""	""
"2009"	2182	""	""	""
"2010"	2189	""	""	""
"2011"	2031	""	""	""
"2012"	2159	""	""	""
"2013"	2082	""	""	""
"2014"	2133	""	""	""
"2015"	2191	""	""	""
"2016"	2020	""	""	""
"2017"	2145	""	""	""
"2018"	2107	""	""	""
"2019"	2092	""	""	""
"2020"	2164	""	""	""
"2021"	2060	""	""	""
"2022"	""	1928	2035	2143
"2023"	""	1904	2008	2112
"2024"	""	1884	1985	2086
"2025"	""	1869	1967	2068
"2026"	""	1858	1956	2050
"2027"	""	1849	1944	2036
"2028"	""	1842	1936	2024
"2029"	""	1837	1928	2014
"2030"	""	1833	1921	2005
"2031"	""	1831	1918	1997
"2032"	""	1830	1915	1991
"2033"	""	1833	1914	1986
"2034"	""	1834	1912	1981
"2035"	""	1835	1912	1977
"2036"	""	1839	1912	1972
"2037"	""	1843	1912	1970
"2038"	""	1848	1913	1965
"2039"	""	1853	1915	1964
"2040"	""	1860	1917	1960
"2041"	""	1865	1919	1960
"2042"	""	1872	1920	1956
"2043"	""	1879	1923	1953
"2044"	""	1885	1926	1952
"2045"	""	1895	1931	1951

