"WohnviertelId"	"Wohnviertel_Name"	"Bevölkerungsdichte 2024"	"Differenz 2024 zu 2005"	"Bevölkerungsdichte 2005"	"Einwohner 2005"	"Einwohner 2024"	"Fläche2024"
01	"Altstadt Grossbasel"	59.356	4.1090	55.247	2084	2239	377216.69
02	"Vorstädte"	55.331	4.9233	50.408	4546	4990	901840.83
03	"Am Ring"	125.566	10.7775	114.789	10491	11476	913939.03
04	"Breite"	135.912	14.0488	121.863	8362	9326	686180.74
05	"St. Alban"	42.257	8.4285	33.828	10078	12589	2979161.95
06	"Gundeldingen"	165.025	8.3783	156.647	18248	19224	1164913.75
07	"Bruderholz"	37.100	3.4166	33.683	8725	9610	2590291.35
08	"Bachletten"	90.032	3.5966	86.436	13218	13768	1529227.37
09	"Gotthelf"	145.144	8.9073	136.236	6638	7072	487241.78
10	"Iselin"	165.218	21.7739	143.444	15666	18044	1092134.30
11	"St. Johann"	86.830	8.1850	78.645	17718	19562	2252902.03
12	"Altstadt Kleinbasel"	98.308	7.3418	90.966	2255	2437	247895.42
13	"Clara"	190.553	28.8206	161.732	3743	4410	231431.65
14	"Wettstein"	77.085	4.9344	72.151	5454	5827	755916.59
15	"Hirzbrunnen"	31.198	3.0349	28.163	8723	9663	3097284.25
16	"Rosental"	122.623	49.7593	72.864	4617	7770	633650.05
17	"Matthäus"	254.718	-6.3310	261.049	15545	15168	595481.52
18	"Klybeck"	77.199	0.9454	76.254	7017	7104	920218.14
19	"Kleinhüningen"	20.539	1.5913	18.948	2560	2775	1351059.46
20	"Riehen"	20.851	2.0193	18.832	20452	22645	10860254.93
30	"Bettingen"	5.837	0.4984	5.339	1189	1300	2227019.11

