""	"Mittelwert Reinvermögen"	"Median Reinvermögen"	"Ertrag aus Vermögenssteuer (rechte Skala)"
"2012"	397663	16200	232163337
"2013"	449487	15057	279250054
"2014"	489728	16264	305305031
"2015"	440302	16281	270086215
"2016"	488775	18772	300833840
"2017"	448363	20000	260492057
"2018"	432229	19156	254448839
"2019"	528030	19602	341965536
"2020"	535493	21566	333055837
"2021"	610678	23369	358028920
"2022"	542649	21084	333295523

