"Jahr"	"PW pro Haushalt Messe"	"Motorisierungsgrad Messe"	"PW pro Haushalt Erlenmatt"	"Motorisierungsgrad Erlenmatt"	"PW pro Haushalt Basel"	"Motorisierungsgrad Basel"
2021	0.41559	208.198	0.48254	210.419	0.45968	233.759
2022	0.38953	192.106	0.47212	203.557	0.45142	227.295
2023	0.38339	189.212	0.46218	204.668	0.44616	224.190
2024	0.38567	193.286	0.48343	208.442	0.44214	223.174

