"CityDescr"	"Gesamte Agglomeration"	"Kernstadt"	"Übrige Agglomerationsgemeinden Schweiz"	"Agglomerationsgemeinden Deutschland"	"Agglomerationsgemeinden Frankreich"
Basel	3.53	3.55	3.02	3.78	4.88
Bern	2.83	3.55	2.48		
Genf	5.57	4.75	5.46		6.09
Lausanne	4.89	5.39	4.62		
Zürich	2.87	2.83	2.89		
