"Jahr"	"Freiraumfläche Pestalozzi"	"Anteil Freiraumfläche Pestalozzi (rechte Skala)"	"Freiraumfläche Kannenfeld"	"Anteil Freiraumfläche Kannenfeld (rechte Skala)"	"Freiraumfläche Landskron"	"Anteil Freiraumfläche Landskron (rechte Skala)"	"Freiraumfläche Lysbüchel"	"Anteil Freiraumfläche Lysbüchel (rechte Skala)"	"Freiraumfläche Friedmatt"	"Anteil Freiraumfläche Friedmatt (rechte Skala)"
2005	22390	11.73	0	0	0	0	12222	1.68	80512	8.08
2010	22363	11.71	0	0	0	0	11863	1.63	80229	8.05
2015	21841	11.44	0	0	0	0	8805	1.21	73932	7.42
2020	21841	11.44	0	0	0	0	6280	0.86	73439	7.37
2023	21841	11.44	0	0	0	0	55211	7.59	73439	7.37

