""	"Wegpendler"	"Zupendler"
"Basel-Stadt"	39644	14801
"Aargau"	5782	7158
"Solothurn"	4229	7248
"Bern"	1321	647
"Andere Kantone"	2873	1896
"Ausland"	229	22258

