Alter	 Männer	 Frauen
15-19	2.1	2.2
20-24	3.6	2.9
25-29	3.8	3.2
30-34	4.3	4.8
35-39	4.1	4.8
40-44	3.6	3.7
45-49	2.3	3.1
50-54	3.0	2.8
55-59	1.8	2.6
60-64	2.6	2.5
