Staatsangehörigkeit	 Einpersonenhaushalt	 Vierpersonenhaushalt
Schweiz	69.93916983	27.59977652
Deutschland	62.9695909	29.07274712
Italien	58.69795222	23.2288197
Türkei	51.16049383	19.31703424
EU-17 + EFTA	61.44411078	25.57100258
EU-Ost	52.99325236	21.34290844
Balkan	49.03116147	19.01353659
Mittel- und Südamerika	58.375	23.07010135
Arabische Länder	49.60365854	19.19524793
Afrikanische Länder	46.74193548	18.82535461
Übrige Länder	60.97945205	25.08126294
