wohnviertel_id	Einkommenssteuer pro Veranlagung	Rang	wohnviertel	jahr_num
18	4410.1190648	1	Klybeck	2014
19	4839.1428571	2	Kleinhüningen	2014
16	5831.0964029	3	Rosental	2014
13	6175.5711968	4	Clara	2014
17	6265.424484	5	Matthäus	2014
10	6306.206372	6	Iselin	2014
11	6494.7676276	7	St. Johann	2014
6	7151.3573948	8	Gundeldingen	2014
4	7191.4427093	9	Breite	2014
15	7447.2770398	10	Hirzbrunnen	2014
12	8252.5018634	11	Altstadt Kleinbasel	2014
9	8734.8026629	12	Gotthelf	2014
14	10408.881084	13	Wettstein	2014
8	11232.568499	14	Bachletten	2014
3	11942.650296	15	Am Ring	2014
20	13431.462954	16	Riehen	2014
30	14099.867508	17	Bettingen	2014
5	15825.977301	18	St. Alban	2014
1	16397.193099	19	Altstadt Grossbasel	2014
2	17822.478275	20	Vorstädte	2014
7	20531.30534	21	Bruderholz	2014
