Jahr	C-Bew.	B-Bew.	Übrige
2011	57	16	16
2012	70	15	22
2013	66	20	12
2014	48	24	11
2015	53	14	6
2016	49	10	12
2017	43	21	9
2018	53	6	26
2019	49	21	19
2020	59	24	15
