""	"Bis 29 Jahre"	"30-49 Jahre"	"50 Jahre u.m."
"2014"	4965	6821	7464
"2016"	5163	6938	7529
"2018"	5124	6981	7529
"2020"	5261	7030	7564
"2022"	5362	7184	7743
"2024"	5607	7355	7959

