Jahr	Effektiv	Referenzszenario	hohes Szenario	tiefes Szenario
2010	184950			
2011	186255			
2012	187425			
2013	189335			
2014	190580			
2015	191817			
2016	193070			
2017	193908			
2018	194766			
2019		194766	194766	194766
2020		195665	195931	195398
2021		196622	197161	196075
2022		197619	198447	196789
2023		198653	199786	197526
2024		199720	201160	198276
2025		200812	202594	199045
2026		201929	204067	199814
2027		203076	205592	200588
2028		204241	207159	201362
2029		205430	208762	202124
2030		206633	210434	202884
2031		207845	212128	203631
2032		208968	213736	204274
2033		210000	215270	204806
2034		210935	216724	205223
2035		211762	218101	205521
2036		212480	219381	205688
2037		213091	220580	205734
2038		213591	221690	205652
2039		213971	222704	205440
2040		214243	223614	205103
2041		214400	224423	204634
2042		214540	225229	204119
2043		214657	226034	203581
2044		214749	226843	203016
2045		214834	227646	202423
2046		214899	228455	201800
2047		214953	229252	201153
2048		214993	230049	200489
2049		215018	230841	199806
2050		215027	231621	199107
