Codegeo	GemeindeDescr	PerNum	Per
12002701	Basel	1	Kernstadt
11042471	Bättwil	2	Übrige Agglomeration CH
11042472	Büren (SO)	2	Übrige Agglomeration CH
11042473	Dornach	2	Übrige Agglomeration CH
11042474	Gempen	2	Übrige Agglomeration CH
11042475	Hochwald	2	Übrige Agglomeration CH
11042476	Hofstetten-Flüh	2	Übrige Agglomeration CH
11042477	Metzerlen-Mariastein	2	Übrige Agglomeration CH
11042478	Nuglar-St. Pantaleon	2	Übrige Agglomeration CH
11042479	Rodersdorf	2	Übrige Agglomeration CH
11042480	Seewen	2	Übrige Agglomeration CH
11042481	Witterswil	2	Übrige Agglomeration CH
11102611	Bärschwil	2	Übrige Agglomeration CH
11102613	Breitenbach	2	Übrige Agglomeration CH
11102614	Büsserach	2	Übrige Agglomeration CH
11102616	Fehren	2	Übrige Agglomeration CH
11102618	Himmelried	2	Übrige Agglomeration CH
11102619	Kleinlützel	2	Übrige Agglomeration CH
11102620	Meltingen	2	Übrige Agglomeration CH
11102621	Nunningen	2	Übrige Agglomeration CH
11102622	Zullwil	2	Übrige Agglomeration CH
12002702	Bettingen	2	Übrige Agglomeration CH
12002703	Riehen	2	Übrige Agglomeration CH
13012761	Aesch (BL)	2	Übrige Agglomeration CH
13012762	Allschwil	2	Übrige Agglomeration CH
13012763	Arlesheim	2	Übrige Agglomeration CH
13012764	Biel-Benken	2	Übrige Agglomeration CH
13012765	Binningen	2	Übrige Agglomeration CH
13012766	Birsfelden	2	Übrige Agglomeration CH
13012767	Bottmingen	2	Übrige Agglomeration CH
13012768	Ettingen	2	Übrige Agglomeration CH
13012769	Münchenstein	2	Übrige Agglomeration CH
13012770	Muttenz	2	Übrige Agglomeration CH
13012771	Oberwil (BL)	2	Übrige Agglomeration CH
13012772	Pfeffingen	2	Übrige Agglomeration CH
13012773	Reinach (BL)	2	Übrige Agglomeration CH
13012774	Schönenbuch	2	Übrige Agglomeration CH
13012775	Therwil	2	Übrige Agglomeration CH
13022781	Blauen	2	Übrige Agglomeration CH
13022782	Brislach	2	Übrige Agglomeration CH
13022783	Burg im Leimental	2	Übrige Agglomeration CH
13022784	Dittingen	2	Übrige Agglomeration CH
13022785	Duggingen	2	Übrige Agglomeration CH
13022786	Grellingen	2	Übrige Agglomeration CH
13022787	Laufen	2	Übrige Agglomeration CH
13022789	Nenzlingen	2	Übrige Agglomeration CH
13022791	Röschenz	2	Übrige Agglomeration CH
13022792	Wahlen	2	Übrige Agglomeration CH
13022793	Zwingen	2	Übrige Agglomeration CH
13032821	Arisdorf	2	Übrige Agglomeration CH
13032822	Augst	2	Übrige Agglomeration CH
13032823	Bubendorf	2	Übrige Agglomeration CH
13032824	Frenkendorf	2	Übrige Agglomeration CH
13032825	Füllinsdorf	2	Übrige Agglomeration CH
13032826	Giebenach	2	Übrige Agglomeration CH
13032827	Hersberg	2	Übrige Agglomeration CH
13032828	Lausen	2	Übrige Agglomeration CH
13032829	Liestal	2	Übrige Agglomeration CH
13032830	Lupsingen	2	Übrige Agglomeration CH
13032831	Pratteln	2	Übrige Agglomeration CH
13032832	Ramlinsburg	2	Übrige Agglomeration CH
13032833	Seltisberg	2	Übrige Agglomeration CH
13032834	Ziefen	2	Übrige Agglomeration CH
13042842	Böckten	2	Übrige Agglomeration CH
13042843	Buckten	2	Übrige Agglomeration CH
13042844	Buus	2	Übrige Agglomeration CH
13042845	Diepflingen	2	Übrige Agglomeration CH
13042846	Gelterkinden	2	Übrige Agglomeration CH
13042848	Hemmiken	2	Übrige Agglomeration CH
13042849	Itingen	2	Übrige Agglomeration CH
13042850	Känerkinden	2	Übrige Agglomeration CH
13042853	Maisprach	2	Übrige Agglomeration CH
