Jahr	AOX	AOX-Grenzwert
2004	0.092	0.08
2005	0.064	0.08
2006	0.056	0.08
2007	0.048	0.08
2008	0.041	0.08
2009	0.056	0.08
2010	0.05	0.08
2011	0.057	0.08
2012	0.042	0.08
2013	0.043	0.08
2014	0.05	0.08
2015	0.042	0.08
