Wohnviertel,Anteil Einfamilienhäuser 2015,Rang
Clara,0.0192307692,1
Gundeldingen,0.0294736842,2
Rosental,0.0704697987,3
Matthäus,0.0711150132,4
Klybeck,0.0735632184,5
Vorstädte,0.0793357934,6
Altstadt Grossbasel,0.1012145749,7
Altstadt Kleinbasel,0.1067615658,8
Breite,0.1376701967,9
Kleinhüningen,0.156626506,10
Iselin,0.1670117322,11
Am Ring,0.1988054608,12
St. Johann,0.2496706192,13
Wettstein,0.3371266003,14
St. Alban,0.3428812131,15
Gotthelf,0.3675126904,16
Bachletten,0.5636726547,17
Riehen,0.6618757613,18
Hirzbrunnen,0.6974683544,19
Bruderholz,0.7348411935,20
Bettingen,0.7942122186,21
