Antwort,Sehr zufrieden,Eher zufrieden,Eher unzufrieden,Sehr unzufrieden,Weiss nicht,Keine Angabe
2011 (N=1689),27.2,50.8,9.3,1.3,5.5,5.9
2015 (N=1427),29.5,50.5,10,1.6,4.6,3.9
