"Jahr"	"Pflanzenschutzmittel im Grundwasser"	"Category"
1993	0.754	0
1994	0.142	1
1995	0.092	2
1996	0.172	3
1997	0.171	4
1998	0.382	5
1999	0.278	6
2000	0	7
2001	0.197	8
2002	0.263	9
2003	0.39	10
2004	0.603	11
2005	0.727	12
2006	0.773	13
2007	0.614	14
2008	0.62	15
2009	0.983	16
2010	1.519	17
2011	0.943	18
2012	0.945	19
2013	0.88	20
2014	0.626	21
2015	0.532	22
2016	0.439	23
2017	0.611	24
2018	0.658	25
2019	0.726	26
2020	0.47	27
2021	0.22	28
2022	0.38	29
2023	0.3	30
