Jahr	Regelmässig	Hin und wieder	Selten	Nie	Nicht möglich	Keine Angabe
2019: Arbeitskollegen	2	15	41	725	312	315
2015: Arbeitskollegen	2	24	48	719	297	337
2011: Arbeitskollegen	0	8	40	865	306	470
.
2019: Nachbarn	26	166	185	700	92	241
2015: Nachbarn	23	177	163	714	86	264
2011: Nachbarn	16	113	146	915	1	498
..
2019: Freunde und Bekannte	24	150	169	734	90	243
2015: Freunde und Bekannte	29	147	172	720	96	263
2011: Freund und Bekannte	25	113	127	897	136	391
