Jahr	Staatsquote	Gesamtausgaben in Fr.	Bruttoinlandprodukt in Fr.
2015	14.9	4892670439	32764400000
2016	15.0	5267276273	35204000000
2017	13.3	4900305619	36876200000
2018	12.6	4793966331	38110200000
2019	12.5	4786767510	38316700000
2020	13.1	4946529279	37705600000
2021	13.1	5232638671	40025808930
2022	13.1	5378486075	41203459090
