Wohnviertelid	Wohnviertel_Name	2022	Wohnanteil
1	Altstadt Grossbasel	171713	22.85
2	Vorstädte	357919	26.77
3	Am Ring	693124	54.67
4	Breite	518740	82.47
5	St. Alban	833750	40.71
6	Gundeldingen	1022620	64.37
7	Bruderholz	645874	89.25
8	Bachletten	889369	85.37
9	Gotthelf	415050	78.10
10	Iselin	882928	80.14
11	St. Johann	936975	45.17
12	Altstadt Kleinbasel	147199	34.89
13	Clara	225149	56.49
14	Wettstein	363607	37.12
15	Hirzbrunnen	487842	68.52
16	Rosental	377864	40.02
17	Matthäus	766099	79.36
18	Klybeck	328028	34.07
19	Kleinhüningen	130231	22.55
20	Riehen	1412075	81.38
30	Bettingen	91065	66.90

