JAHR	Pestalozzi	Kannenfeld	Landskron	Lysbüchel	Friedmattviertel
2009	27	6	40	16	32
2010	24	2	22	43	26
2011	26	8	31	20	34
2012	39	16	67	54	45
2013	28	12	54	37	39
2014	30	9	34	24	42
2015	24	16	37	29	42
2016	23	16	57	36	42
2017	38	5	63	28	39
2018	24	9	30	14	31
2019	13	11	42	15	13
2020	18	2	29	12	18
2021	34	28	78	32	44
2022	27	16	29	35	35
