Jahr	Anzahl Anzeigen
2009	40.25
2010	38.30
2011	43.75
2012	55.68
2013	49.77
2014	41.04
2015	37.42
2016	34.88
2017	35.43
2018	32.43
2019	34.46
2020	29.98
2021	34.86
2022	41.79
