Jahr	Erhöhen	Senken	Beibehalten	Weiss nicht	Keine Angabe
2003	19	873	605	0	0
2005	10	569	931	0	0
2007	5	1052	452	0	0
2011	13.54248	767.67842	686.82362	45.96164	1.99384
2015	16.71937	588.78647	810.68917	88.4144	1.39058
2019	32.91802	1025	754.47804	210.73628	84.48279
2023	35.27376	875.25327	638.80859	191.29982	313.36456

