	Darstellende Kunst	Kunst, Schriftstellerei	Kultur-, Unterhaltungseinrichtungen	Bibliotheken und Archive	Museen	Historische Stätten, Gebäude u.ä.	Botanische Gärten, Zoos, Naturparks
2011	1584	296	108	206	626	4	170
2012	1712	310	126	191	643	5	163
2013	1817	317	128	193	597	4	144
2014	1909	372	137	217	638	5	145
2015	1937	389	142	249	633	5	148
2016	1948	356	130	231	669	5	233
2017	1938	347	143	228	703	6	248
2018	1955	338	125	232	712	7	233
2019	1909	349	146	250	759	5	226
2020	1854	372	122	244	721	7	222
2021	2042	364	135	233	773	4	228
2022	2201	412	139	267	825	4	229
2023	1728	423	734	271	880	4	236
