Antwort,Sehr sicher,Eher sicher,Eher unsicher,Ganz unsicher,Weiss nicht /<br/>keine Angabe
2003<br/>(N=1497),55.2,38.5,5.3,0.6,0.3
2005<br/>(N=1510),56,38.7,4.6,0.7,0.1
2007<br/>(N=1509),50.1,44.3,5,0.5,0.2
2011<br/>(N=1516),48.2,44.7,6.2,0.9,0.1
2015<br/>(N=1506),42.2,49,7.6,1,0.2
