"Jahr"	"Tage mit Niedrigwasser "	"Tage mit Hochwasser "	"Category"
1988	0	7	0
1989	16	0	1
1990	9	3	2
1991	36	6	3
1992	11	6	4
1993	0	1	5
1994	0	7	6
1995	0	17	7
1996	0	2	8
1997	21	2	9
1998	0	1	10
1999	0	42	11
2000	0	1	12
2001	0	10	13
2002	0	9	14
2003	38	0	15
2004	1	4	16
2005	28	3	17
2006	19	8	18
2007	0	3	19
2008	0	3	20
2009	17	1	21
2010	0	4	22
2011	32	0	23
2012	0	5	24
2013	0	8	25
2014	0	2	26
2015	29	7	27
2016	19	15	28
2017	28	0	29
2018	107	6	30
2019	0	0	31
2020	0		32
2021	10		33
2022	40		34
