Antwort,Ja,Nein,Weiss nicht /<br/>keine Angabe
2003<br/>(N=1497),8.6,91.2,0.2
2005<br/>(N=1510),9,90.6,0.4
2007<br/>(N=1509),7.4,92.5,0.1
2011<br/>(N=1516),7.6,92.4,0
2015<br/>(N=1506),6.2,93.7,0.1
