""	"Zuwanderung Erwerbstätige (rechte Skala)"	"Bestand Grenzgänger"	"Bestand Meldepflichtige in VZÄ Handel, Reparatur"
"2010-01"	31	2462	19
"2010-02"	33	2482	18
"2010-03"	31	2455	59
"2010-04"	20	2504	77
"2011-01"	22	2498	37
"2011-02"	21	2550	35
"2011-03"	27	2551	31
"2011-04"	26	2483	60
"2012-01"	19	2507	24
"2012-02"	21	2405	22
"2012-03"	28	2324	33
"2012-04"	25	2257	54
"2013-01"	37	2095	28
"2013-02"	21	2081	26
"2013-03"	19	2090	35
"2013-04"	26	2076	58
"2014-01"	20	2051	47
"2014-02"	29	2022	40
"2014-03"	22	2029	38
"2014-04"	33	2010	64
"2015-01"	29	1992	54
"2015-02"	29	1992	35
"2015-03"	28	1988	66
"2015-04"	23	2004	85
"2016-01"	35	1964	73
"2016-02"	34	1945	54
"2016-03"	47	1952	59
"2016-04"	32	1946	87
"2017-01"	32	1862	69
"2017-02"	37	1874	65
"2017-03"	36	1841	55
"2017-04"	25	1836	83
"2018-01"	35	1797	51
"2018-02"	19	1752	57
"2018-03"	30	1731	51
"2018-04"	27	1696	93

