"Jahr"	"BS"	"BL"	"AG"	"ZH"	"CH"
2015	171919	72261	64457	100005	81092
2016	183529	72152	64454	99754	81402
2017	190999	72574	64448	99942	81306
2018	196538	72536	65109	104287	83629
2019	196732	72245	65628	102100	83899
2020	192529	70696	64312	96934	80946
2021	203450	74288	64746	98448	85933
2022	210183	77905	67614	105131	90526
2023	210657	78583	67899	104570	91162
2024	216547	79319	67723	105587	92123

