Situation	2009 (N=3119)	2013 (N=2231)	2017 (N=1665)
Berufliche Probleme	26.6110933	29.22456298	31.89
Gesundheitliche Probleme	18.94838089	20.6185567	23.36
Finanzielle Probleme	9.426098108	8.337068579	8.65
Wohnungsprobleme	19.01250401	22.27700583	21.08
Partnerschaftliche Probleme	31.22795768	33.34827432	35.62
Schulische Probleme der Kinder	23.56524527	22.99417302	26.76
Erziehungsfragen oder -probleme	46.90605963	46.57104437	53.09 
