"Jahr"	"Siedlungsflächen"	"Landwirtschaftsflächen"	"Bestockte Flächen"	"Unproduktive Flächen"
1982	2594	471	461	172
1994	2614	453	466	165
2006	2629	444	459	166
2014	2640	428	464	166
