"Jahr"	"Stromverbrauch Messe"	"Stromverbrauch Erlenmatt"
2010	21.417887	2.040478
2012	65.125417	2.535727
2014	35.4331	2.570315
2016	54.636558	4.606796
2018	53.923904	6.269984
2020	53.925294	6.502671
2022	48.788667	8.221336
