jahr	Feinstaub (PM10)	Langzeitgrenzwert NO<sub>2</sub>	Langzeitgrenzwert PM10	Stickstoffdioxid (NO<sub>2</sub>)
1991		30		52.7763772079922
1992		30		49.888175932342
1993		30		47.2321126308789
1994		30		42.7197073553679
1995		30		40.2313769202446
1996		30		43.1283510263354
1997	28.6	30	20	41.1928618484152
1998	24.2950138414996	30	20	36.0221655518629
1999	20.7036211510554	30	20	36.0356261490008
2000	20.8	30	20	33.7891434166009
2001	20.1	30	20	32.9940613684262
2002	21.8	30	20	32.671556861263
2003	24.732586491127	30	20	34.7960488980325
2004	18.9660933914568	30	20	33.3343075238306
2005	21.2310112167439	30	20	32.650818042032
2006	23.7	30	20	33.835352163368
2007	22.5	30	20	31.4787813752326
2008	20.7	30	20	32.368959087514
2009	22	30	20	32.7274505778177
2010	21.4	30	20	32.4439897872808
2011	22.27	30	20	33.2320014081974
2012	19.143	30	20	31.8103665006211
2013	19.0882191780822	30	20	30.9847633638177
2014	16.8704109589041	30	20	31.8763917607535
2015	18.3	30	20	31.471806300138
2016	16.1	30	20	27.8169871116837
2017	16.22	30	20	27.71
2018	17.80	30	20	26.92
