	 Mittelwert 2010	 Mittelwert Basel-Stadt 2010	 Mittelwert 2019	 Mittelwert Basel-Stadt 2019
Altstadt GB	94993	65751	103923	72418
Vorstädte 	87980	65751	122747	72418
Am Ring 	69512	65751	82792	72418
Breite 	53301	65751	57696	72418
St. Alban 	92870	65751	105764	72418
Gundeldingen 	52578	65751	58870	72418
Bruderholz 	136880	65751	118421	72418
Bachletten 	75189	65751	80161	72418
Gotthelf 	64459	65751	67314	72418
Iselin 	50319	65751	51798	72418
St. Johann 	48771	65751	54765	72418
Altstadt KB	55345	65751	65589	72418
Clara 	48670	65751	52449	72418
Wettstein 	68607	65751	80510	72418
Hirzbrunnen 	56204	65751	62058	72418
Rosental 	45745	65751	57736	72418
Matthäus 	47953	65751	53415	72418
Klybeck 	42403	65751	41971	72418
Kleinhüning. 	42674	65751	45039	72418
Riehen 	85546	65751	97211	72418
Bettingen	90882	65751	135374	72418


