Betrachtungsjahr	Zugezogene Klybeck	Weggezogene Klybeck	Zugezogene Kleinhüningen	Weggezogene Kleinhüningen	Saldo Klybeck	Saldo Kleinhüningen
2005	445665	993935	147269	296892	-548270	-149623
2006	556004	954109	184026	275056	-398105	-91030
2007	816859	992041	192194	352958	-175182	-160764
2008	785633	856552	154125	237581	-70919	-83456
2009	661233	836327	202507	319527	-175094	-117020
2010	764476	610825	163730	165958	153651	-2228
2011	751216	892679	208957	175003	-141463	33954
2012	724333	817253	546551	233645	-92920	312906
2013	957270	822876	290853	206806	134394	84047
2014	664962	635734	183945	276935	29228	-92990
2015	701723	811722	275599	254178	-109999	21421
2016	670118	744390	302812	442769	-74272	-139957
2017	809162	800495	366831	375013	8667	-8182
2018	768852	524255	229876	257764	244597	-27888
2019	721124	860283	191006	311525	-139159	-120519
2020	675352	743383	348126	375483	-68031	-27357

