	Stimme sehr zu	Stimme eher zu	Stimme eher nicht zu	Stimme überhaupt nicht zu	Weiss nicht	Keine Angabe
2005	420	590	283	139	78	0
2007	310	624	340	143	92	0
2011	551.48937	569.83924	228.98133	117.53318	45.61722	2.53966
2015	518.78866	642.06821	193.08464	78.86348	68.67306	4.52195
2019	655.67142	794.52191	259.66285	89.64379	234.99493	73.50510
2023	722.00653	596.89949	180.64794	90.30887	182.92540	281.21176

