"Alter"	"Schweizer"	"Ausländer"	"Schweizerinnen"	"Ausländerinnen"
"0"	539	366	491	336
"1"	555	357	511	321
"2"	558	452	557	426
"3"	562	369	522	363
"4"	560	385	546	384
"5"	581	380	491	404
"6"	557	409	565	391
"7"	544	424	551	407
"8"	563	387	555	384
"9"	590	416	489	360
"10"	551	378	450	369
"11"	560	384	529	366
"12"	506	375	513	324
"13"	579	315	521	345
"14"	535	292	559	321
"15"	559	289	557	291
"16"	558	333	524	247
"17"	575	313	527	242
"18"	592	284	561	224
"19"	578	295	609	261
"20"	630	290	658	247
"21"	631	303	793	256
"22"	685	311	807	314
"23"	805	364	889	418
"24"	773	456	941	515
"25"	825	520	974	585
"26"	796	647	915	648
"27"	882	684	1000	722
"28"	852	724	945	804
"29"	871	798	928	803
"30"	870	865	930	885
"31"	909	908	909	898
"32"	962	881	863	916
"33"	880	975	930	993
"34"	822	949	875	962
"35"	785	949	844	984
"36"	770	935	760	912
"37"	790	989	781	996
"38"	745	948	754	926
"39"	792	895	762	883
"40"	732	923	778	861
"41"	752	880	787	831
"42"	757	893	725	846
"43"	714	889	722	842
"44"	678	773	654	745
"45"	656	805	681	688
"46"	685	727	709	707
"47"	669	761	730	610
"48"	669	691	630	658
"49"	667	718	701	625
"50"	604	590	719	578
"51"	683	576	708	517
"52"	704	564	734	513
"53"	746	584	720	535
"54"	795	592	822	468
"55"	731	583	886	492
"56"	801	540	887	459
"57"	885	520	954	443
"58"	895	500	1012	414
"59"	909	487	998	449
"60"	906	466	956	361
"61"	815	440	896	383
"62"	814	377	946	316
"63"	850	387	965	287
"64"	791	314	929	274
"65"	781	271	870	222
"66"	739	233	878	208
"67"	781	255	825	235
"68"	648	213	807	192
"69"	638	210	780	209
"70"	675	179	736	205
"71"	619	173	809	152
"72"	575	160	778	156
"73"	617	159	783	161
"74"	632	144	749	154
"75"	595	149	743	147
"76"	535	134	754	130
"77"	535	129	749	112
"78"	534	89	715	98
"79"	507	94	680	99
"80"	489	108	702	91
"81"	462	98	692	99
"82"	418	85	641	93
"83"	339	97	601	87
"84"	305	75	582	83
"85"	307	56	525	89
"86"	291	53	537	69
"87"	231	37	488	51
"88"	239	34	476	52
"89"	184	29	430	35
"90"	161	15	358	31
"91"	159	20	366	12
"92"	113	10	296	26
"93"	119	12	245	12
"94"	75	8	193	16
"95"	45	6	185	14
"96"	28	2	123	9
"97"	25	0	75	4
"98"	11	1	58	3
"99"	12	1	41	2
"100"	9	0	32	0
"101"	5	0	17	0
"102"	2	0	9	0
"103"	0	0	8	0
"104"	0	0	1	0
"105"	0	0	2	1
"106"	0	0	1	0
"107"	0	0	1	0

