JAHR	Umzugssaldo Klybeck	Umzugssaldo Kleinhüningen
2006	86	28
2007	-118	19
2008	48	-29
2009	1	89
2010	-45	-14
2011	37	32
2012	40	78
2013	21	-16
2014	-15	23
2015	-77	20
2016	-77	4
2017	10	-22
2018	-52	21
