""	"Handel mit Automobilen"	"Instandhaltung und Reparatur von Automobilen"	"Handel mit Automobilteilen und -zubehör"	"Handel mit und Reparatur von Motorrädern"
2012	17.6	861.1	98.9	55.9
2013	18.6	760.2	89.8	54.4
2014	19.6	719.8	100.4	49.7
2015	30.0	697.1	100.1	51.6
2016	37.5	640.4	96.7	47.8
2017	36.3	628.1	99.9	46.3
2018	14.6	644.9	95.8	40.9
2019	16.0	657.1	94.7	39.3
2020	18.8	569.8	101.7	42.3
2021	20.2	551.7	97.1	48.2

