"Land 2021"	"Anzahl"
"Deutschland"	16564
"Italien"	8671
"Türkei"	5741
"EU-West + EFTA + UK"	16520
"EU-Ost"	5629
"Balkan"	6804
"Mittel- und Südamerika"	1958
"Arabische Länder"	1789
"Afrikanische Länder"	1999
"Übrige Länder"	8759

