	Anzahl Nennungen
Wohnung/Haus zu klein	377
Erwerb von Wohneigentum	136
Miete zu hoch	128
Lärmbelastung Strassenverk.	125
Nicht kindger. Wohnumfeld	101
And. private/familiäre Gründe	93
Ausstattung ungenügend	82
Laute Nachbarn	73
Schlechter Ruf der Gegend	39
Weg zur Arbeit zu weit	33
Lärmbelastung öff. Raum	33
Lärmbelastung Bahnverkehr	29
Wohnung/Haus zu gross	17
Lärmbelastung Flugverkehr	10
Weg zum Einkaufen zu weit	8
Kündigung durch Vermieter	6
Andere Gründe	188
