"Branche"	"Schweiz"	"Ausland"
"Baugewerbe"	17.9	82.1
"Sonst. wirtschaftl. DL"	26.7	73.3
"Gastgewerbe"	27.2	72.8
"Industrie und Energie"	38.4	61.6
"Verkehr, Lagerei"	39.2	60.8
"Freib., tech., wissens. DL"	40.7	59.3
"Handel, Reparatur"	43.2	56.8
"Information, Kommunikation"	50.7	49.3
"Kultur, Unterhaltung, pers. DL"	50.8	49.2
"Bildung, Gesundheitswesen"	52.3	47.7
"Banken, Versicherungen"	52.6	47.4

