	2013	2022
Altstadt GB	1628	1761
Vorstädte	2963	2894
Am Ring	6332	6315
Breite	5414	5661
St. Alban	6425	6979
Gundeldingen	11497	11641
Bruderholz	5043	5225
Bachletten	7999	8112
Gotthelf	4218	4238
Iselin	9693	10019
St. Johann	10718	11275
Altstadt KB	1540	1607
Clara	2529	2644
Wettstein	3321	3566
Hirzbrunnen	5150	5327
Rosental	2781	3936
Matthäus	9154	8864
Klybeck	4147	3945
Kleinhüning	1603	1541
Riehen	11809	12357
Bettingen	638	689
