""	"Mittelwert"	"Median"	"Anzahl Veranlagungen (rechte Skala)"
"USA"	267191	174906	561
"Australien"	197894	174149	63
"Dänemark"	192149	108071	86
"Irland"	180712	153136	136
"Kanada"	173979	155261	116
"UK"	159053	134004	1040
"Indien"	154813	128343	357
"Belgien"	146456	96776	113
"Schweden"	131670	108644	142
"Niederlande"	126494	88761	371

