"Jahr"	"Ausländer"	"Schweizer"
"2001"	52524	134912
"2002"	54286	133799
"2003"	55353	132726
"2004"	56419	132059
"2005"	57040	130423
"2006"	58342	129026
"2007"	58673	129011
"2008"	60046	129228
"2009"	61677	128368
"2010"	62132	128201
"2011"	64095	127981
"2012"	65527	127932
"2013"	67552	127907
"2014"	68779	127692
"2015"	69587	127617
"2016"	70808	127398
"2017"	71610	127378
"2018"	72931	127325
"2019"	73315	127092
"2020"	74695	127276

